display_name,Profits booked away from country in 2015,Profits booked away from country in 2016,Profits booked away from country in 2017,Profits booked away from country in 2018,Profits booked away from country in 2019,Profits booked away from country in 2020,Tax revenue lost in 2015,Tax revenue lost in 2016,Tax revenue lost in 2017,Tax revenue lost in 2018,Tax revenue lost in 2019,Tax revenue lost in 2020,Share of corporate tax lost in 2020
:de: Germany,54.90434,64.65849,66.95689,70.94637,70.55914,55.94915,16.31757,19.2165,19.94646,21.28391,21.16774,16.78475,26.1583
:gb: United Kingdom,61.5009,79.62176,97.47249,102.3553,102.3663,81.17031,12.30018,15.92435,18.51977,19.4475,19.4496,15.42236,25.0603
:cr: Costa Rica,1.05752,0.887555,1.216996,1.43246,1.816856,1.440657,0.317256,0.266266,0.365099,0.429738,0.545057,0.432197,24.7668
:hu: Hungary,2.394889,3.623497,4.257021,5.341564,5.389468,4.273523,0.455029,0.688464,0.383132,0.480741,0.485052,0.384617,24.496299999999998
:ng: Nigeria,,3.048983,2.438911,2.992018,4.018292,3.186264,,0.914695,0.731673,0.897605,1.205488,0.955879,19.6712
:br: Brazil,14.21206,17.10516,19.98314,18.79554,25.04411,19.85848,4.832102,5.815755,6.794266,6.390485,8.514999,6.751882,17.0762
:es: Spain,14.36207,14.52868,17.23293,19.65052,19.69241,15.6149,4.02138,3.632171,4.308234,4.91263,4.923103,3.903725,15.551300000000001
:cl: Chile,5.181914,5.235636,5.583566,6.090758,8.511232,6.748894,1.243659,1.256553,1.423809,1.583597,2.298033,1.822201,15.299
:no: Norway,5.215665,6.15764,6.004805,6.160314,7.594767,6.022193,1.408229,1.53941,1.441153,1.416872,1.670849,1.324883,15.1029
:fr: France,32.08413,35.59934,40.65922,39.80727,39.74792,31.51771,10.69364,11.85458,13.55172,13.1364,12.32186,8.824959,14.3509
:se: Sweden,8.54109,10.18916,11.87544,11.66934,11.73835,9.307806,1.87904,2.241615,2.612597,2.567255,2.512007,1.99187,13.0393
:it: Italy,22.70248,23.72821,26.89059,27.02493,27.01863,21.42415,7.12858,7.450656,6.453742,6.485984,6.484471,5.141796,12.9499
:fi: Finland,2.714869,3.206784,4.050427,4.455093,4.453009,3.530968,0.542974,0.641357,0.810085,0.891019,0.890602,0.706194,12.390600000000001
:us: United States,142.5653,150.3548,164.4323,158.9316,154.3603,122.3984,57.02612,60.14193,65.77292,42.91153,41.67727,33.04757,11.934000000000001
:za: South Africa,4.080645,3.979479,5.119329,5.762294,7.393963,5.862968,1.142581,1.114254,1.433412,1.613442,2.07031,1.641631,11.6853
